"price","dish","date","ingredients","business","location"
"4,60","Hefeklöße mit Heidelbeeren und Vanillesauce","27.07.2017","","La Petite","Adlershof"
"4,60","Hefeklöße mit Heidelbeeren und Vanillesauce","28.07.2017","","La Petite","Adlershof"
"7.5","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","31.7.2017","Bio","Jouis Nour","Adlershof"
"5.5","Spaghettimit Gemüsebolognese und Sonnenblumenkernen","31.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"4.5","Feuriger Paprikatopf mit Tofustückchen","31.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"5","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","17.7.2017","Vegetarian","FOOD","Adlershof"
"6","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","17.7.2017","","FOOD","Adlershof"
"7","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","17.7.2017","Fish","FOOD","Adlershof"
"5","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","18.7.2017","Vegetarian","FOOD","Adlershof"
"6","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","18.7.2017","","FOOD","Adlershof"
"7","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","18.7.2017","Fish","FOOD","Adlershof"
"5","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","19.7.2017","Vegetarian","FOOD","Adlershof"
"6","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","19.7.2017","","FOOD","Adlershof"
"7","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","19.7.2017","Fish","FOOD","Adlershof"
"5","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","20.7.2017","Vegetarian","FOOD","Adlershof"
"6","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","20.7.2017","","FOOD","Adlershof"
"7","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","20.7.2017","Fish","FOOD","Adlershof"
"5","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","21.7.2017","Vegetarian","FOOD","Adlershof"
"6","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","21.7.2017","","FOOD","Adlershof"
