"ingredients","business","dish","price","location","date"
"Flammkuchen","Albert","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00","Adlershof","2017-09-11 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00","Adlershof","2017-09-12 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00","Adlershof","2017-09-13 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00","Adlershof","2017-09-14 00:00:00"
"ingredients","business","dish","price","location","date"
"Soup","Sonnenschein","Kartoffel-Möhrensuppe mit Hack Klose a la Greque & Brötchen","4.00","Adlershof","2017-09-11 00:00:00"
"","Sonnenschein","Mit Rinder gehacktem gefüllte Paprika, Butterkartoffel, Erbsen, Del.sauce","6.00","Adlershof","2017-09-11 00:00:00"
"","Sonnenschein","„Falsche Hase“, Reispilaw, Brokkoli Röschen, Anjarsauce","6.00","Adlershof","2017-09-11 00:00:00"
"","Sonnenschein","Hähnchen Cordon Bleu, Nudeln, Anjarsauce","6.00","Adlershof","2017-09-11 00:00:00"
"Vegetarian","Sonnenschein","Lasagne a la Mexicana, cremige Tomatensauce, Salat (vegetarisch)","5.00","Adlershof","2017-09-11 00:00:00"
"Vegetarian","Sonnenschein","Kartoffeln-Brokkoli-Auflauf, Sauce, Salat (vegetarisch)","5.00","Adlershof","2017-09-11 00:00:00"
"Soup","Sonnenschein","Kürbiscremesuppe mit Hähnchenfilet & 1 Brötchen","4.00","Adlershof","2017-09-12 00:00:00"
"","Sonnenschein","Rinderroulade, Apfelrotkohl, Butterkartoffel, Del.sauce","6.00","Adlershof","2017-09-12 00:00:00"
"","Sonnenschein","„Wrap“, Sauce Bolognese, Salat","6.00","Adlershof","2017-09-12 00:00:00"
"","Sonnenschein","Hähnchenbrust „Pomodoro“ Bratkartoffeln, Champignonrahmsauce","6.00","Adlershof","2017-09-12 00:00:00"
"Vegetarian","Sonnenschein","Moussaka „Griechische Art“ Salat, cremige Tomatensauce (vegetarisch)","5.50","Adlershof","2017-09-12 00:00:00"
"Vegetarian","Sonnenschein","Nudeln mit frische Champignon & Cherry Tomaten in Käsesauce (vegetarisch)","5.00","Adlershof","2017-09-12 00:00:00"
"","Sonnenschein","Mexikanischer-Paprika-Cilly-Topf & 1 Brötchen","4.00","Adlershof","2017-09-13 00:00:00"
"","Sonnenschein","Lasagne Bolognese mit Rindergehacktem, cremige Tomatensauce, Salat","6.00","Adlershof","2017-09-13 00:00:00"
"","Sonnenschein","Moussaka mit Schweinegehacktem „Griechische Art“, Tomatensauce, Salat","6.00","Adlershof","2017-09-13 00:00:00"
"","Sonnenschein","Saltimbocca (Hühnerbrust), Bratkartoffeln, Möhrengemüse, Käsesauce","6.00","Adlershof","2017-09-13 00:00:00"
"Vegetarian","Sonnenschein","Rahmspinat, Butterkartoffeln, 2 Spiegeleier (vegetarisch)","5.00","Adlershof","2017-09-13 00:00:00"
"Vegetarian","Sonnenschein","Panierte Goudaschnitte, Butterkartoffeln, Käsesauce (vegetarisch)","5.00","Adlershof","2017-09-13 00:00:00"
"Soup","Sonnenschein","Fernöstliche Geflügelsuppe & 1 Brötchen","4.00","Adlershof","2017-09-14 00:00:00"
"Fish","Sonnenschein","Lachsschnitte auf Rahmblattspinat, Butterkartoffeln","6.80","Adlershof","2017-09-14 00:00:00"
