"business","location","ingredients","date","dish","price"
"Cafe Campus","Adlershof","","21.08.2017","Eisbeinsülze mit Remoulade und Bratkartoffeln","5.90"
"Cafe Campus","Adlershof","","22.08.2017","Eisbeinsülze mit Remoulade und Bratkartoffeln","5.90"
"Cafe Campus","Adlershof","","23.08.2017","Eisbeinsülze mit Remoulade und Bratkartoffeln","5.90"
"Cafe Campus","Adlershof","","24.08.2017","Eisbeinsülze mit Remoulade und Bratkartoffeln","5.90"
"Cafe Campus","Adlershof","","25.08.2017","Eisbeinsülze mit Remoulade und Bratkartoffeln","5.90"
"Cafe Campus","Adlershof","","21.08.2017","Putenschnitzel mit Bratkartoffelnund Salatbeilage","7.90"
"Cafe Campus","Adlershof","","22.08.2017","Putenschnitzel mit Bratkartoffelnund Salatbeilage","7.90"
"Cafe Campus","Adlershof","","23.08.2017","Putenschnitzel mit Bratkartoffelnund Salatbeilage","7.90"
"Cafe Campus","Adlershof","","24.08.2017","Putenschnitzel mit Bratkartoffelnund Salatbeilage","7.90"
"Cafe Campus","Adlershof","","25.08.2017","Putenschnitzel mit Bratkartoffelnund Salatbeilage","7.90"
"Cafe Campus","Adlershof","","21.08.2017","Hähnchencurry mit Reis","7.90"
"Cafe Campus","Adlershof","","22.08.2017","Hähnchencurry mit Reis","7.90"
"Cafe Campus","Adlershof","","23.08.2017","Hähnchencurry mit Reis","7.90"
"Cafe Campus","Adlershof","","24.08.2017","Hähnchencurry mit Reis","7.90"
"Cafe Campus","Adlershof","","25.08.2017","Hähnchencurry mit Reis","7.90"
"Suppencult","Alexanderplatz","","24.08.2017","Birnen - Walnusssalat mit Pennenudeln, Hirtenkäse, Rucola, Eisbergsalat, Tomaten, Gurken, Birnenstücken und einem hausgemachten Walnussdressing","5,40/5,80"
