"business","price","dish","ingredients","date","location"
"Jouis Nour","5.9","Penne Arabiatta mit Kirschtomaten und Gouda","Bio;Vegetarian","16.8.2017","Adlershof"
"Jouis Nour","4","Feine Erbsen-Kräutercremesuppe mit Karottenstreifen","Bio;Vegetarian;Soup","17.8.2017","Adlershof"
"Jouis Nour","","Forelle Müllerin Art mit Wurzelgemüse und Petersilienkartoffeln","Fish","17.8.2017","Adlershof"
"Jouis Nour","5.9","Waldpilzrisotto mit Parmesanhobel","Bio;Vegetarian","17.8.2017","Adlershof"
"Jouis Nour","4","Blumenkohl-Süppchen mit gerösteten Haferflocken","Bio;Vegetarian","18.8.2017","Adlershof"
"Jouis Nour","7","Rinderboulette gefüllt mit Fetakäse an Ratatouille und Tomatenreis","Bio","18.8.2017","Adlershof"
"Jouis Nour","5.9","Linsen-Gemüse-Curry mit Basmatireis und Koriander","Vegan;Bio;Vegetarian","18.8.2017","Adlershof"
"Jouis Nour","4","Zucchinisuppe mit Infwer-Croutons","Vegan;Bio;Vegetarian;Soup","21.8.2017","Adlershof"
"Jouis Nour","7.5","Szegediner Gulasch mit Kartoffeln und Creme Fraiche","Bio","21.8.2017","Adlershof"
"Jouis Nour","5.5","Tomatisierte Spaghetti mit Spinat, gerösteten Nüssen und geriebenem Käse","Bio;Vegetarian","21.8.2017","Adlershof"
"Jouis Nour","4","Beluga-Linsensuppe mit Zitronenjoghurt-Dip","Bio;Vegetarian;Soup","22.8.2017","Adlershof"
"Jouis Nour","7","Falscher Hase mit Möhren auf Kartoffelpüree mit Dill-Joghurt-Dip","Bio","22.8.2017","Adlershof"
"Jouis Nour","5.9","Gemüse-Grünkern-Pfanne mit Naturreis und einer leichten Nuss-Sauce","Vegan;Bio;Vegetarian","22.8.2017","Adlershof"
"Jouis Nour","4","Klare Rinderbrühe mit Fadennudeln","Bio","23.8.2017","Adlershof"
"Jouis Nour","7.5","Putenschnitzel mit Pfifferlingsauce und Rosmarinkartoffeln","Bio","23.8.2017","Adlershof"
